"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.72    ,  0.14  
MgO     ,  4.63    ,  0.17  
Al2O3   ,  9.52    ,  0.29  
SiO2    , 50.20    ,  0.54  
P2O5    ,  0.76    ,  0.05  
SO3     ,  7.99    ,  0.10  
Cl      ,  1.54    ,  0.02  
K2O     ,  1.00    ,  0.04  
CaO     ,  4.96    ,  0.06  
TiO2    ,  0.93    ,  0.03  
Cr2O3   ,  0.30    ,  0.01  
MnO     ,  0.12    ,  0.01  
FeO     , 15.03    ,  0.20  
Ni      ,  0.0979  ,  0.0050
Zn      ,  0.1248  ,  0.0040
Br      ,  0.0104  ,  0.0005
