"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.15    ,  0.14  
MgO     ,  8.71    ,  0.25  
Al2O3   ,  8.82    ,  0.19  
SiO2    , 40.98    ,  0.54  
P2O5    ,  0.76    ,  0.05  
SO3     ,  6.49    ,  0.12  
Cl      ,  1.33    ,  0.04  
K2O     ,  0.89    ,  0.04  
CaO     ,  6.34    ,  0.07  
TiO2    ,  0.90    ,  0.03  
Cr2O3   ,  0.46    ,  0.03  
MnO     ,  0.51    ,  0.03  
FeO     , 20.53    ,  0.26  
Ni      ,  0.0345  ,  0.0030
Zn      ,  0.0329  ,  0.0020
Br      ,  0.0032  ,  0.0005
