"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.29    ,  0.14  
MgO     ,  9.02    ,  0.25  
Al2O3   ,  9.00    ,  0.19  
SiO2    , 42.85    ,  0.54  
P2O5    ,  0.63    ,  0.05  
SO3     ,  4.90    ,  0.08  
Cl      ,  1.37    ,  0.02  
K2O     ,  0.90    ,  0.04  
CaO     ,  5.75    ,  0.07  
TiO2    ,  0.83    ,  0.03  
Cr2O3   ,  0.50    ,  0.01  
MnO     ,  0.51    ,  0.01  
FeO     , 20.34    ,  0.26  
Ni      ,  0.0368  ,  0.0020
Zn      ,  0.0340  ,  0.0015
Br      ,  0.0085  ,  0.0005
