"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  7.16    ,  0.27  
MgO     ,  6.42    ,  0.17  
Al2O3   ,  7.44    ,  0.19  
SiO2    , 36.43    ,  0.43  
P2O5    ,  0.92    ,  0.07  
SO3     ,  8.73    ,  0.15  
Cl      ,  9.76    ,  0.11  
K2O     ,  0.67    ,  0.02  
CaO     ,  5.84    ,  0.07  
TiO2    ,  0.79    ,  0.03  
Cr2O3   ,  0.27    ,  0.01  
MnO     ,  0.26    ,  0.01  
FeO     , 15.00    ,  0.20  
Ni      ,  0.0604  ,  0.0035
Zn      ,  0.0523  ,  0.0020
Br      ,  0.0064  ,  0.0005
