"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.40    ,  0.14  
MgO     ,  5.60    ,  0.17  
Al2O3   ,  5.42    ,  0.19  
SiO2    , 58.76    ,  0.75  
P2O5    ,  1.09    ,  0.07  
SO3     , 10.72    ,  0.20  
Cl      ,  1.11    ,  0.04  
K2O     ,  0.41    ,  0.02  
CaO     ,  5.74    ,  0.08  
TiO2    ,  1.14    ,  0.07  
Cr2O3   ,  0.32    ,  0.03  
MnO     ,  0.04    ,  0.04  
FeO     ,  7.04    ,  0.13  
Ni      ,  0.0125  ,  0.0025
Zn      ,  0.0128  ,  0.0015
Br      ,  0.0362  ,  0.0015
