"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.15    ,  0.07  
MgO     ,  1.47    ,  0.83  
Al2O3   ,  2.86    ,  0.10  
SiO2    , 59.15    ,  0.64  
P2O5    ,  1.56    ,  0.09  
SO3     , 13.07    ,  0.15  
Cl      ,  0.54    ,  0.01  
K2O     ,  0.29    ,  0.01  
CaO     ,  7.10    ,  0.08  
TiO2    ,  0.91    ,  0.03  
Cr2O3   ,  0.28    ,  0.01  
MnO     ,  0.02    ,  0.04  
FeO     , 10.39    ,  0.13  
Ni      ,  0.0183  ,  0.0010
Zn      ,  0.0093  ,  0.0005
Br      ,  0.0441  ,  0.0015
