"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.27    ,  0.68  
MgO     ,  6.02    ,  0.92  
Al2O3   ,  8.41    ,  1.15  
SiO2    , 47.57    ,  1.71  
P2O5    ,  0.36    ,  0.77  
SO3     ,  5.80    ,  0.65  
Cl      ,  0.96    ,  0.15  
K2O     ,  0.94    ,  0.12  
CaO     ,  4.23    ,  0.43  
TiO2    ,  1.23    ,  0.17  
Cr2O3   ,  0.25    ,  0.08  
MnO     ,  0.21    ,  0.12  
FeO     , 22.42    ,  1.63  
Ni      ,  0.0696  ,  0.0115
Zn      ,  0.1394  ,  0.0140
Br      ,  0.0393  ,  0.0045
