"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.32    ,  0.14  
MgO     ,  7.82    ,  0.17  
Al2O3   ,  8.50    ,  0.19  
SiO2    , 42.99    ,  0.54  
P2O5    ,  1.01    ,  0.07  
SO3     ,  7.38    ,  0.10  
Cl      ,  1.16    ,  0.02  
K2O     ,  0.54    ,  0.02  
CaO     ,  5.83    ,  0.07  
TiO2    ,  1.13    ,  0.05  
Cr2O3   ,  0.31    ,  0.01  
MnO     ,  0.38    ,  0.01  
FeO     , 20.11    ,  0.26  
Ni      ,  0.0707  ,  0.0040
Zn      ,  0.3362  ,  0.0105
Br      ,  0.0426  ,  0.0015
