"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.72    ,  0.27  
MgO     ,  6.04    ,  0.25  
Al2O3   ,  6.63    ,  0.29  
SiO2    , 30.88    ,  0.54  
P2O5    ,  0.72    ,  0.07  
SO3     , 11.87    ,  0.30  
Cl      ,  2.47    ,  0.09  
K2O     ,  0.57    ,  0.04  
CaO     ,  7.70    ,  0.14  
TiO2    ,  0.79    ,  0.07  
Cr2O3   ,  0.25    ,  0.05  
MnO     ,  0.23    ,  0.04  
FeO     , 28.79    ,  0.33  
Ni      ,  0.0393  ,  0.0060
Zn      ,  0.1963  ,  0.0075
Br      ,  0.0098  ,  0.0020
