"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.44    ,  0.14  
MgO     ,  4.49    ,  0.17  
Al2O3   ,  8.69    ,  0.19  
SiO2    , 44.28    ,  0.54  
P2O5    ,  0.86    ,  0.05  
SO3     ,  8.31    ,  0.12  
Cl      ,  0.95    ,  0.03  
K2O     ,  0.93    ,  0.04  
CaO     ,  6.63    ,  0.07  
TiO2    ,  1.08    ,  0.03  
Cr2O3   ,  0.30    ,  0.03  
MnO     ,  0.18    ,  0.01  
FeO     , 20.54    ,  0.26  
Ni      ,  0.0991  ,  0.0050
Zn      ,  0.1204  ,  0.0040
Br      ,  0.0218  ,  0.0010
