"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.56    ,  0.14  
MgO     ,  6.16    ,  0.17  
Al2O3   , 10.25    ,  0.29  
SiO2    , 50.55    ,  0.54  
P2O5    ,  0.81    ,  0.05  
SO3     ,  5.26    ,  0.08  
Cl      ,  1.44    ,  0.03  
K2O     ,  1.02    ,  0.04  
CaO     ,  4.22    ,  0.06  
TiO2    ,  1.16    ,  0.05  
Cr2O3   ,  0.35    ,  0.01  
MnO     ,  0.12    ,  0.01  
FeO     , 15.76    ,  0.20  
Ni      ,  0.1024  ,  0.0055
Zn      ,  0.1223  ,  0.0040
Br      ,  0.0087  ,  0.0005
