"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.84    ,  0.14  
MgO     ,  4.47    ,  0.17  
Al2O3   , 12.41    ,  0.29  
SiO2    , 51.84    ,  0.54  
P2O5    ,  1.44    ,  0.09  
SO3     ,  5.84    ,  0.08  
Cl      ,  0.52    ,  0.02  
K2O     ,  0.65    ,  0.02  
CaO     ,  4.29    ,  0.06  
TiO2    ,  1.07    ,  0.03  
Cr2O3   ,  0.39    ,  0.01  
MnO     ,  0.33    ,  0.01  
FeO     , 13.51    ,  0.20  
Ni      ,  0.0839  ,  0.0045
Zn      ,  0.1737  ,  0.0055
Br      ,  0.0085  ,  0.0005
