"Target: Mojave_DRT_raster2, Contains DAT files: APB_469359455ESC08100441432_______M1.DAT"
 7127.8  ,    6074
 7152.3  ,    3497
 7176.7  ,    1818
 7201.1  ,     882
 7225.5  ,     471
 7250.0  ,     305
 7274.4  ,     245
 7298.8  ,     291
 7323.2  ,     378
 7347.6  ,     480
 7372.1  ,     621
 7396.5  ,     836
 7420.9  ,    1015
 7445.3  ,    1126
 7469.8  ,    1104
 7494.2  ,     962
 7518.6  ,     798
 7543.0  ,     566
 7567.4  ,     417
 7591.9  ,     277
 7616.3  ,     211
 7640.7  ,     196
 7665.1  ,     175
 7689.6  ,     156
 7714.0  ,     186
 7738.4  ,     161
 7762.8  ,     162
 7787.3  ,     197
 7811.7  ,     198
 7836.1  ,     202
 7860.5  ,     181
 7884.9  ,     216
 7909.4  ,     230
 7933.8  ,     213
 7958.2  ,     247
 7982.6  ,     279
 8007.1  ,     278
 8031.5  ,     254
 8055.9  ,     257
 8080.3  ,     236
 8104.7  ,     230
 8129.2  ,     271
 8153.6  ,     278
 8178.0  ,     277
 8202.4  ,     290
 8226.9  ,     334
 8251.3  ,     350
 8275.7  ,     329
 8300.1  ,     291
 8324.5  ,     302
 8349.0  ,     283
 8373.4  ,     237
 8397.8  ,     261
 8422.2  ,     329
 8446.7  ,     462
 8471.1  ,     686
 8495.5  ,    1101
 8519.9  ,    1660
 8544.4  ,    2376
 8568.8  ,    3067
 8593.2  ,    3373
 8617.6  ,    3762
 8642.0  ,    3471
 8666.5  ,    2934
 8690.9  ,    2136
 8715.3  ,    1393
 8739.7  ,     942
 8764.2  ,     505
 8788.6  ,     349
 8813.0  ,     244
 8837.4  ,     185
 8861.8  ,     192
 8886.3  ,     160
 8910.7  ,     174
 8935.1  ,     176
 8959.5  ,     147
 8984.0  ,     182
 9008.4  ,     161
 9032.8  ,     184
 9057.2  ,     203
 9081.6  ,     203
 9106.1  ,     194
 9130.5  ,     199
 9154.9  ,     230
 9179.3  ,     214
 9203.8  ,     215
 9228.2  ,     225
 9252.6  ,     237
 9277.0  ,     212
 9301.5  ,     217
 9325.9  ,     210
 9350.3  ,     211
 9374.7  ,     200
 9399.1  ,     229
 9423.6  ,     319
 9448.0  ,     379
 9472.4  ,     456
 9496.8  ,     573
 9521.3  ,     679
 9545.7  ,     743
 9570.1  ,     746
 9594.5  ,     662
 9618.9  ,     609
 9643.4  ,     456
 9667.8  ,     359
 9692.2  ,     289
 9716.6  ,     276
 9741.1  ,     288
 9765.5  ,     320
 9789.9  ,     412
 9814.3  ,     450
 9838.7  ,     473
 9863.2  ,     453
 9887.6  ,     445
 9912.0  ,     424
 9936.4  ,     361
 9960.9  ,     274
 9985.3  ,     242
10009.7  ,     186
10034.1  ,     177
10058.6  ,     163
10083.0  ,     199
10107.4  ,     150
10131.8  ,     178
10156.2  ,     167
10180.7  ,     169
10205.1  ,     162
10229.5  ,     190
10253.9  ,     185
10278.4  ,     199
10302.8  ,     168
10327.2  ,     189
10351.6  ,     204
10376.0  ,     193
10400.5  ,     258
10424.9  ,     255
10449.3  ,     325
10473.7  ,     384
10498.2  ,     426
10522.6  ,     444
10547.0  ,     440
10571.4  ,     405
10595.8  ,     387
10620.3  ,     328
10644.7  ,     260
10669.1  ,     231
10693.5  ,     175
10718.0  ,     189
