"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.67    ,  0.20  
MgO     ,  7.49    ,  0.25  
Al2O3   , 10.20    ,  0.29  
SiO2    , 46.52    ,  0.64  
P2O5    ,  1.06    ,  0.07  
SO3     ,  7.38    ,  0.20  
Cl      ,  0.95    ,  0.05  
K2O     ,  0.63    ,  0.04  
CaO     ,  5.51    ,  0.08  
TiO2    ,  1.20    ,  0.05  
Cr2O3   ,  0.37    ,  0.03  
MnO     ,  0.35    ,  0.03  
FeO     , 15.31    ,  0.20  
Ni      ,  0.1017  ,  0.0055
Zn      ,  0.1650  ,  0.0050
Br      ,  0.0124  ,  0.0015
