"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.16    ,  0.14  
MgO     ,  6.14    ,  0.17  
Al2O3   ,  6.69    ,  0.19  
SiO2    , 34.78    ,  0.43  
P2O5    ,  1.17    ,  0.07  
SO3     , 17.45    ,  0.20  
Cl      ,  1.41    ,  0.03  
K2O     ,  0.52    ,  0.02  
CaO     , 10.60    ,  0.11  
TiO2    ,  0.81    ,  0.03  
Cr2O3   ,  0.18    ,  0.01  
MnO     ,  0.41    ,  0.03  
FeO     , 17.45    ,  0.20  
Ni      ,  0.0422  ,  0.0025
Zn      ,  0.0945  ,  0.0030
Br      ,  0.0238  ,  0.0010
