"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.21    ,  0.07  
MgO     ,  5.96    ,  0.17  
Al2O3   ,  6.54    ,  0.19  
SiO2    , 33.63    ,  0.43  
P2O5    ,  1.81    ,  0.09  
SO3     , 17.93    ,  0.20  
Cl      ,  1.72    ,  0.03  
K2O     ,  0.54    ,  0.02  
CaO     , 10.87    ,  0.11  
TiO2    ,  0.82    ,  0.03  
Cr2O3   ,  0.20    ,  0.01  
MnO     ,  0.56    ,  0.01  
FeO     , 16.96    ,  0.20  
Ni      ,  0.0446  ,  0.0025
Zn      ,  0.1132  ,  0.0035
Br      ,  0.0178  ,  0.0010
