"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.67    ,  0.14  
MgO     ,  6.98    ,  0.17  
Al2O3   ,  9.52    ,  0.29  
SiO2    , 47.04    ,  0.54  
P2O5    ,  0.73    ,  0.05  
SO3     ,  3.46    ,  0.05  
Cl      ,  0.68    ,  0.02  
K2O     ,  0.86    ,  0.04  
CaO     ,  4.98    ,  0.06  
TiO2    ,  1.09    ,  0.03  
Cr2O3   ,  0.47    ,  0.01  
MnO     ,  0.24    ,  0.01  
FeO     , 21.10    ,  0.26  
Ni      ,  0.0612  ,  0.0035
Zn      ,  0.0512  ,  0.0020
Br      ,  0.0012  ,  0.0010
