"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.54    ,  0.14  
MgO     ,  5.99    ,  0.17  
Al2O3   ,  8.66    ,  0.19  
SiO2    , 46.27    ,  0.54  
P2O5    ,  0.96    ,  0.07  
SO3     ,  6.66    ,  0.12  
Cl      ,  1.77    ,  0.04  
K2O     ,  0.81    ,  0.04  
CaO     ,  4.38    ,  0.06  
TiO2    ,  1.04    ,  0.03  
Cr2O3   ,  0.30    ,  0.01  
MnO     ,  0.13    ,  0.01  
FeO     , 20.14    ,  0.26  
Ni      ,  0.0991  ,  0.0050
Zn      ,  0.1013  ,  0.0035
Br      ,  0.0555  ,  0.0020
