"Target: Matthew, Contains DAT files: APB_429504116ESC03610120000_______M2.DAT"
 7158.2  ,    2535
 7182.6  ,    1376
 7206.9  ,     714
 7231.3  ,     386
 7255.6  ,     258
 7280.0  ,     200
 7304.3  ,     182
 7328.7  ,     151
 7353.0  ,     183
 7377.4  ,     204
 7401.7  ,     203
 7426.1  ,     218
 7450.4  ,     239
 7474.8  ,     222
 7499.1  ,     195
 7523.5  ,     168
 7547.8  ,     163
 7572.2  ,     184
 7596.5  ,     161
 7620.9  ,     177
 7645.2  ,     153
 7669.6  ,     156
 7693.9  ,     170
 7718.3  ,     124
 7742.6  ,     160
 7767.0  ,     155
 7791.3  ,     160
 7815.7  ,     168
 7840.0  ,     165
 7864.4  ,     148
 7888.7  ,     168
 7913.1  ,     189
 7937.4  ,     177
 7961.8  ,     182
 7986.1  ,     162
 8010.5  ,     170
 8034.8  ,     159
 8059.2  ,     179
 8083.5  ,     155
 8107.9  ,     160
 8132.2  ,     148
 8156.6  ,     145
 8180.9  ,     132
 8205.3  ,     173
 8229.6  ,     152
 8254.0  ,     127
 8278.3  ,     163
 8302.7  ,     179
 8327.0  ,     180
 8351.4  ,     150
 8375.7  ,     158
 8400.1  ,     169
 8424.4  ,     161
 8448.8  ,     196
 8473.1  ,     252
 8497.5  ,     304
 8521.8  ,     395
 8546.2  ,     508
 8570.5  ,     571
 8594.9  ,     687
 8619.2  ,     654
 8643.6  ,     613
 8667.9  ,     515
 8692.3  ,     447
 8716.6  ,     357
 8741.0  ,     263
 8765.4  ,     213
 8789.7  ,     182
 8814.1  ,     150
 8838.4  ,     155
 8862.8  ,     135
 8887.1  ,     133
 8911.5  ,     163
 8935.8  ,     149
 8960.2  ,     136
 8984.5  ,     157
 9008.9  ,     169
 9033.2  ,     134
 9057.6  ,     142
 9081.9  ,     152
 9106.3  ,     157
 9130.6  ,     173
 9155.0  ,     172
 9179.3  ,     167
 9203.7  ,     196
 9228.0  ,     188
 9252.4  ,     187
 9276.7  ,     175
