"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.51    ,  0.20  
MgO     ,  6.17    ,  0.25  
Al2O3   ,  8.64    ,  0.29  
SiO2    , 45.74    ,  0.75  
P2O5    ,  0.80    ,  0.07  
SO3     ,  8.99    ,  0.22  
Cl      ,  1.05    ,  0.05  
K2O     ,  0.66    ,  0.04  
CaO     ,  5.85    ,  0.11  
TiO2    ,  0.99    ,  0.07  
Cr2O3   ,  0.28    ,  0.03  
MnO     ,  0.12    ,  0.03  
FeO     , 17.75    ,  0.20  
Ni      ,  0.0848  ,  0.0060
Zn      ,  0.0781  ,  0.0040
Br      ,  0.0189  ,  0.0015
