"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.71    ,  0.14  
MgO     ,  5.25    ,  0.17  
Al2O3   , 10.10    ,  0.29  
SiO2    , 51.96    ,  0.54  
P2O5    ,  0.57    ,  0.05  
SO3     ,  4.22    ,  0.05  
Cl      ,  0.82    ,  0.02  
K2O     ,  1.02    ,  0.04  
CaO     ,  3.78    ,  0.04  
TiO2    ,  1.03    ,  0.03  
Cr2O3   ,  0.30    ,  0.01  
MnO     ,  0.24    ,  0.01  
FeO     , 17.74    ,  0.20  
Ni      ,  0.0710  ,  0.0040
Zn      ,  0.0849  ,  0.0030
Br      ,  0.0088  ,  0.0005
