"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.59    ,  0.14  
MgO     ,  5.94    ,  0.17  
Al2O3   ,  8.95    ,  0.19  
SiO2    , 49.03    ,  0.54  
P2O5    ,  0.98    ,  0.07  
SO3     ,  5.17    ,  0.08  
Cl      ,  1.30    ,  0.02  
K2O     ,  0.80    ,  0.02  
CaO     ,  2.81    ,  0.04  
TiO2    ,  1.11    ,  0.03  
Cr2O3   ,  0.32    ,  0.01  
MnO     ,  0.25    ,  0.01  
FeO     , 20.40    ,  0.26  
Ni      ,  0.1005  ,  0.0055
Zn      ,  0.1472  ,  0.0045
Br      ,  0.0169  ,  0.0010
