"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.26    ,  0.14  
MgO     ,  4.76    ,  0.17  
Al2O3   ,  6.58    ,  0.19  
SiO2    , 32.24    ,  0.43  
P2O5    ,  0.70    ,  0.05  
SO3     , 20.42    ,  0.22  
Cl      ,  1.23    ,  0.03  
K2O     ,  0.58    ,  0.02  
CaO     , 11.21    ,  0.13  
TiO2    ,  0.66    ,  0.03  
Cr2O3   ,  0.20    ,  0.01  
MnO     ,  0.14    ,  0.01  
FeO     , 18.78    ,  0.20  
Ni      ,  0.0720  ,  0.0040
Zn      ,  0.0810  ,  0.0025
Br      ,  0.0172  ,  0.0010
