"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.15    ,  0.14  
MgO     ,  7.21    ,  0.17  
Al2O3   , 10.95    ,  0.29  
SiO2    , 44.99    ,  0.54  
P2O5    ,  0.99    ,  0.07  
SO3     ,  7.35    ,  0.08  
Cl      ,  1.18    ,  0.02  
K2O     ,  0.73    ,  0.02  
CaO     ,  7.07    ,  0.08  
TiO2    ,  0.87    ,  0.03  
Cr2O3   ,  0.19    ,  0.01  
MnO     ,  0.25    ,  0.01  
FeO     , 14.86    ,  0.20  
Ni      ,  0.0214  ,  0.0015
Zn      ,  0.0688  ,  0.0025
Br      ,  0.0144  ,  0.0005
