"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.58    ,  0.14  
MgO     ,  5.57    ,  0.17  
Al2O3   ,  9.59    ,  0.29  
SiO2    , 48.64    ,  0.54  
P2O5    ,  0.73    ,  0.05  
SO3     ,  6.86    ,  0.12  
Cl      ,  1.67    ,  0.04  
K2O     ,  1.04    ,  0.04  
CaO     ,  4.47    ,  0.06  
TiO2    ,  1.07    ,  0.03  
Cr2O3   ,  0.30    ,  0.01  
MnO     ,  0.19    ,  0.01  
FeO     , 17.04    ,  0.20  
Ni      ,  0.0886  ,  0.0045
Zn      ,  0.0717  ,  0.0025
Br      ,  0.0020  ,  0.0005
