"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.78    ,  0.14  
MgO     ,  5.19    ,  0.17  
Al2O3   , 10.13    ,  0.29  
SiO2    , 51.52    ,  0.64  
P2O5    ,  0.77    ,  0.05  
SO3     ,  5.30    ,  0.10  
Cl      ,  1.49    ,  0.04  
K2O     ,  0.95    ,  0.04  
CaO     ,  3.33    ,  0.04  
TiO2    ,  1.04    ,  0.03  
Cr2O3   ,  0.29    ,  0.01  
MnO     ,  0.16    ,  0.01  
FeO     , 16.79    ,  0.20  
Ni      ,  0.0639  ,  0.0035
Zn      ,  0.0521  ,  0.0020
Br      ,  0.0064  ,  0.0005
