"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.37    ,  0.20  
MgO     ,  5.58    ,  0.25  
Al2O3   ,  8.95    ,  0.38  
SiO2    , 48.36    ,  0.64  
P2O5    ,  1.03    ,  0.07  
SO3     ,  5.00    ,  0.17  
Cl      ,  1.67    ,  0.07  
K2O     ,  1.01    ,  0.04  
CaO     ,  3.36    ,  0.08  
TiO2    ,  1.14    ,  0.09  
Cr2O3   ,  0.32    ,  0.05  
MnO     ,  0.21    ,  0.03  
FeO     , 20.63    ,  0.26  
Ni      ,  0.0966  ,  0.0065
Zn      ,  0.1275  ,  0.0050
Br      ,  0.0566  ,  0.0025
