"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.52    ,  0.14  
MgO     ,  5.39    ,  0.17  
Al2O3   ,  8.70    ,  0.19  
SiO2    , 48.49    ,  0.54  
P2O5    ,  0.77    ,  0.05  
SO3     ,  5.41    ,  0.08  
Cl      ,  1.45    ,  0.03  
K2O     ,  1.08    ,  0.04  
CaO     ,  3.90    ,  0.04  
TiO2    ,  1.12    ,  0.05  
Cr2O3   ,  0.33    ,  0.01  
MnO     ,  0.11    ,  0.01  
FeO     , 20.30    ,  0.26  
Ni      ,  0.0829  ,  0.0045
Zn      ,  0.0859  ,  0.0030
Br      ,  0.1587  ,  0.0050
