"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.90    ,  0.07  
MgO     ,  4.86    ,  0.17  
Al2O3   ,  4.64    ,  0.10  
SiO2    , 47.59    ,  0.54  
P2O5    ,  2.72    ,  0.14  
SO3     ,  7.72    ,  0.10  
Cl      ,  1.43    ,  0.02  
K2O     ,  1.17    ,  0.04  
CaO     ,  2.87    ,  0.04  
TiO2    ,  0.59    ,  0.03  
Cr2O3   ,  0.63    ,  0.01  
MnO     ,  0.15    ,  0.01  
FeO     , 23.42    ,  0.26  
Ni      ,  0.0310  ,  0.0020
Zn      ,  0.0430  ,  0.0015
Br      ,  0.0479  ,  0.0015
