"Target: Oudam_post_sieve_dump_pile, Contains DAT files: APB_523504288ESC14190561236_______M1.DAT"
 7144.0  ,    4423
 7168.4  ,    2414
 7192.8  ,    1291
 7217.2  ,     674
 7241.6  ,     350
 7266.0  ,     225
 7290.4  ,     160
 7314.8  ,     218
 7339.2  ,     261
 7363.6  ,     379
 7388.0  ,     460
 7412.4  ,     561
 7436.8  ,     664
 7461.2  ,     645
 7485.5  ,     577
 7509.9  ,     559
 7534.3  ,     422
 7558.7  ,     276
 7583.1  ,     229
 7607.5  ,     150
 7631.9  ,     157
 7656.3  ,     114
 7680.7  ,     128
 7705.1  ,     117
 7729.5  ,     123
 7753.9  ,     108
 7778.3  ,     116
 7802.7  ,     125
 7827.1  ,     137
 7851.5  ,     131
 7875.9  ,     151
 7900.2  ,     136
 7924.6  ,     156
 7949.0  ,     129
 7973.4  ,     171
 7997.8  ,     156
 8022.2  ,     171
 8046.6  ,     150
 8071.0  ,     176
 8095.4  ,     156
 8119.8  ,     158
 8144.2  ,     167
 8168.6  ,     165
 8193.0  ,     174
 8217.4  ,     198
 8241.8  ,     206
 8266.2  ,     180
 8290.6  ,     206
 8314.9  ,     192
 8339.3  ,     158
 8363.7  ,     149
 8388.1  ,     123
 8412.5  ,     164
 8436.9  ,     213
 8461.3  ,     266
 8485.7  ,     369
 8510.1  ,     525
 8534.5  ,     715
 8558.9  ,     977
 8583.3  ,    1135
 8607.7  ,    1325
 8632.1  ,    1218
 8656.5  ,    1063
 8680.9  ,     880
 8705.3  ,     616
 8729.7  ,     427
 8754.0  ,     279
 8778.4  ,     187
 8802.8  ,     147
 8827.2  ,     138
 8851.6  ,     117
 8876.0  ,     122
 8900.4  ,     117
 8924.8  ,     114
 8949.2  ,     144
 8973.6  ,     119
 8998.0  ,     117
 9022.4  ,     122
 9046.8  ,     126
 9071.2  ,     122
 9095.6  ,     116
 9120.0  ,     149
 9144.4  ,     135
 9168.7  ,     148
 9193.1  ,     142
 9217.5  ,     156
 9241.9  ,     153
 9266.3  ,     155
 9290.7  ,     135
 9315.1  ,     146
 9339.5  ,     154
 9363.9  ,     115
 9388.3  ,     128
 9412.7  ,     120
 9437.1  ,     153
 9461.5  ,     181
 9485.9  ,     214
 9510.3  ,     261
 9534.7  ,     282
 9559.1  ,     285
 9583.4  ,     315
 9607.8  ,     256
 9632.2  ,     206
 9656.6  ,     188
 9681.0  ,     189
 9705.4  ,     174
 9729.8  ,     153
 9754.2  ,     167
 9778.6  ,     215
 9803.0  ,     240
 9827.4  ,     290
 9851.8  ,     299
 9876.2  ,     266
 9900.6  ,     273
 9925.0  ,     230
 9949.4  ,     192
 9973.8  ,     170
 9998.2  ,     146
10022.5  ,     124
10046.9  ,     116
10071.3  ,     107
10095.7  ,     102
10120.1  ,     104
10144.5  ,     108
10168.9  ,     109
10193.3  ,     105
10217.7  ,     123
10242.1  ,     127
10266.5  ,     119
10290.9  ,     127
10315.3  ,     144
10339.7  ,     135
10364.1  ,     146
10388.5  ,     129
10412.9  ,     155
10437.2  ,     180
10461.6  ,     233
10486.0  ,     213
10510.4  ,     235
10534.8  ,     237
10559.2  ,     236
10583.6  ,     229
10608.0  ,     199
10632.4  ,     180
10656.8  ,     140
10681.2  ,     148
10705.6  ,      98
10730.0  ,     117
10754.4  ,     118
10778.8  ,     120
10803.2  ,     114
10827.6  ,     120
10851.9  ,     117
10876.3  ,     124
10900.7  ,     138
10925.1  ,     120
10949.5  ,     147
10973.9  ,     137
10998.3  ,     141
11022.7  ,     144
11047.1  ,     163
11071.5  ,     132
11095.9  ,     127
11120.3  ,     126
11144.7  ,     131
11169.1  ,     143
11193.5  ,     128
11217.9  ,     137
11242.3  ,     155
11266.7  ,     137
11291.0  ,     134
11315.4  ,     175
11339.8  ,     142
11364.2  ,     146
11388.6  ,     156
11413.0  ,     163
11437.4  ,     169
11461.8  ,     167
11486.2  ,     183
11510.6  ,     195
11535.0  ,     202
11559.4  ,     208
11583.8  ,     204
11608.2  ,     184
11632.6  ,     206
