"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.05    ,  0.14  
MgO     ,  5.97    ,  0.17  
Al2O3   ,  7.29    ,  0.19  
SiO2    , 39.43    ,  0.43  
P2O5    ,  1.00    ,  0.07  
SO3     ,  5.23    ,  0.10  
Cl      ,  0.94    ,  0.03  
K2O     ,  0.54    ,  0.02  
CaO     ,  2.79    ,  0.04  
TiO2    ,  0.87    ,  0.03  
Cr2O3   ,  0.21    ,  0.01  
MnO     ,  0.28    ,  0.03  
FeO     , 33.11    ,  0.39  
Ni      ,  0.0892  ,  0.0045
Zn      ,  0.1061  ,  0.0035
Br      ,  0.0081  ,  0.0005
