"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.41    ,  0.14  
MgO     ,  6.34    ,  0.17  
Al2O3   ,  8.92    ,  0.19  
SiO2    , 48.85    ,  0.54  
P2O5    ,  1.17    ,  0.07  
SO3     ,  4.68    ,  0.10  
Cl      ,  1.01    ,  0.03  
K2O     ,  0.78    ,  0.02  
CaO     ,  2.82    ,  0.04  
TiO2    ,  1.03    ,  0.03  
Cr2O3   ,  0.30    ,  0.03  
MnO     ,  0.33    ,  0.03  
FeO     , 21.05    ,  0.26  
Ni      ,  0.0955  ,  0.0050
Zn      ,  0.1332  ,  0.0040
Br      ,  0.0059  ,  0.0005
