"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.25    ,  0.20  
MgO     ,  6.07    ,  0.25  
Al2O3   ,  8.42    ,  0.29  
SiO2    , 46.21    ,  0.75  
P2O5    ,  1.95    ,  0.12  
SO3     ,  6.20    ,  0.20  
Cl      ,  1.15    ,  0.06  
K2O     ,  0.89    ,  0.04  
CaO     ,  3.84    ,  0.08  
TiO2    ,  1.11    ,  0.07  
Cr2O3   ,  0.31    ,  0.05  
MnO     ,  0.32    ,  0.04  
FeO     , 20.92    ,  0.26  
Ni      ,  0.0844  ,  0.0065
Zn      ,  0.1746  ,  0.0060
Br      ,  0.0152  ,  0.0015
