"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.14    ,  0.14  
MgO     ,  7.72    ,  0.17  
Al2O3   , 10.38    ,  0.29  
SiO2    , 46.18    ,  0.54  
P2O5    ,  1.09    ,  0.07  
SO3     ,  3.23    ,  0.12  
Cl      ,  1.31    ,  0.05  
K2O     ,  0.49    ,  0.02  
CaO     ,  7.04    ,  0.10  
TiO2    ,  1.05    ,  0.05  
Cr2O3   ,  0.26    ,  0.03  
MnO     ,  0.39    ,  0.03  
FeO     , 17.56    ,  0.20  
Ni      ,  0.0227  ,  0.0035
Zn      ,  0.0431  ,  0.0030
Br      ,  0.0245  ,  0.0015
