"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.00    ,  0.14  
MgO     ,  7.09    ,  0.17  
Al2O3   ,  9.35    ,  0.19  
SiO2    , 42.34    ,  0.54  
P2O5    ,  1.03    ,  0.07  
SO3     ,  9.50    ,  0.22  
Cl      ,  1.30    ,  0.06  
K2O     ,  0.51    ,  0.04  
CaO     ,  9.18    ,  0.13  
TiO2    ,  0.90    ,  0.05  
Cr2O3   ,  0.26    ,  0.03  
MnO     ,  0.29    ,  0.03  
FeO     , 15.12    ,  0.20  
Ni      ,  0.0294  ,  0.0040
Zn      ,  0.0334  ,  0.0025
Br      ,  0.0274  ,  0.0015
