"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.46    ,  0.14  
MgO     ,  4.06    ,  0.08  
Al2O3   ,  9.65    ,  0.29  
SiO2    , 50.78    ,  0.54  
P2O5    ,  0.74    ,  0.05  
SO3     ,  9.02    ,  0.10  
Cl      ,  1.62    ,  0.02  
K2O     ,  0.95    ,  0.04  
CaO     ,  4.98    ,  0.06  
TiO2    ,  0.96    ,  0.03  
Cr2O3   ,  0.31    ,  0.01  
MnO     ,  0.10    ,  0.01  
FeO     , 14.12    ,  0.20  
Ni      ,  0.0925  ,  0.0050
Zn      ,  0.0644  ,  0.0020
Br      ,  0.0148  ,  0.0005
