"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.95    ,  0.07  
MgO     , 10.60    ,  0.25  
Al2O3   ,  7.95    ,  0.19  
SiO2    , 43.13    ,  0.54  
P2O5    ,  0.71    ,  0.05  
SO3     ,  7.28    ,  0.08  
Cl      ,  1.86    ,  0.02  
K2O     ,  2.38    ,  0.07  
CaO     ,  5.50    ,  0.06  
TiO2    ,  0.96    ,  0.03  
Cr2O3   ,  0.55    ,  0.01  
MnO     ,  0.19    ,  0.01  
FeO     , 16.61    ,  0.20  
Ni      ,  0.0316  ,  0.0020
Zn      ,  0.0937  ,  0.0030
Br      ,  0.0568  ,  0.0020
