"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.23    ,  0.20  
MgO     ,  4.74    ,  0.17  
Al2O3   ,  8.74    ,  0.19  
SiO2    , 46.87    ,  0.54  
P2O5    ,  1.03    ,  0.07  
SO3     ,  7.48    ,  0.15  
Cl      ,  1.12    ,  0.04  
K2O     ,  0.91    ,  0.04  
CaO     ,  6.11    ,  0.07  
TiO2    ,  1.08    ,  0.03  
Cr2O3   ,  0.38    ,  0.03  
MnO     ,  0.17    ,  0.03  
FeO     , 18.82    ,  0.20  
Ni      ,  0.0964  ,  0.0050
Zn      ,  0.1039  ,  0.0035
Br      ,  0.0200  ,  0.0010
