"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.32    ,  0.14  
MgO     ,  6.12    ,  0.17  
Al2O3   ,  9.14    ,  0.19  
SiO2    , 47.38    ,  0.54  
P2O5    ,  1.00    ,  0.07  
SO3     ,  5.25    ,  0.08  
Cl      ,  1.18    ,  0.03  
K2O     ,  0.86    ,  0.04  
CaO     ,  4.57    ,  0.06  
TiO2    ,  1.18    ,  0.05  
Cr2O3   ,  0.36    ,  0.01  
MnO     ,  0.29    ,  0.01  
FeO     , 19.87    ,  0.26  
Ni      ,  0.0861  ,  0.0045
Zn      ,  0.2743  ,  0.0085
Br      ,  0.0272  ,  0.0010
