"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.78    ,  0.14  
MgO     ,  5.66    ,  0.17  
Al2O3   ,  7.34    ,  0.19  
SiO2    , 38.56    ,  0.54  
P2O5    ,  0.97    ,  0.07  
SO3     , 12.96    ,  0.20  
Cl      ,  0.32    ,  0.02  
K2O     ,  0.62    ,  0.02  
CaO     ,  9.23    ,  0.10  
TiO2    ,  1.10    ,  0.05  
Cr2O3   ,  0.36    ,  0.03  
MnO     ,  0.61    ,  0.03  
FeO     , 19.86    ,  0.26  
Ni      ,  0.0662  ,  0.0035
Zn      ,  0.4411  ,  0.0135
Br      ,  0.0129  ,  0.0010
