"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.38    ,  0.20  
MgO     ,  6.05    ,  0.25  
Al2O3   , 11.50    ,  0.29  
SiO2    , 45.36    ,  0.54  
P2O5    ,  0.83    ,  0.05  
SO3     ,  7.08    ,  0.15  
Cl      ,  1.33    ,  0.04  
K2O     ,  1.96    ,  0.06  
CaO     ,  5.52    ,  0.07  
TiO2    ,  0.83    ,  0.05  
Cr2O3   ,  0.09    ,  0.03  
MnO     ,  0.28    ,  0.03  
FeO     , 15.60    ,  0.20  
Ni      ,  0.0156  ,  0.0025
Zn      ,  0.0645  ,  0.0025
Br      ,  0.0059  ,  0.0010
