"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.23    ,  0.07  
MgO     ,  4.14    ,  0.08  
Al2O3   ,  8.37    ,  0.19  
SiO2    , 46.36    ,  0.54  
P2O5    ,  1.05    ,  0.07  
SO3     ,  9.84    ,  0.10  
Cl      ,  0.77    ,  0.02  
K2O     ,  0.76    ,  0.02  
CaO     ,  6.26    ,  0.07  
TiO2    ,  1.06    ,  0.03  
Cr2O3   ,  0.30    ,  0.01  
MnO     ,  0.24    ,  0.01  
FeO     , 18.29    ,  0.20  
Ni      ,  0.0766  ,  0.0040
Zn      ,  0.1670  ,  0.0055
Br      ,  0.0083  ,  0.0005
