"Target: Barberton_raster2, Contains DAT files: APB_563087639ESC18650661994_______M1.DAT"
 7469.7  ,      46
 7494.1  ,      45
 7518.5  ,      32
 7543.0  ,      27
 7567.4  ,      12
 7591.9  ,      12
 7616.3  ,      14
 7640.7  ,       2
 7665.2  ,      11
 7689.6  ,      15
 7714.0  ,       4
 7738.5  ,       9
 7762.9  ,       8
 7787.4  ,       8
 7811.8  ,      11
 7836.2  ,      13
 7860.7  ,      14
 7885.1  ,       9
 7909.5  ,      10
 7934.0  ,      14
 7958.4  ,       6
 7982.9  ,      14
 8007.3  ,      10
 8031.7  ,      18
 8056.2  ,      16
 8080.6  ,       8
 8105.0  ,      12
 8129.5  ,      15
 8153.9  ,      12
 8178.4  ,      14
 8202.8  ,      15
 8227.2  ,      10
 8251.7  ,      13
 8276.1  ,      17
 8300.5  ,       5
 8325.0  ,      11
 8349.4  ,      12
 8373.9  ,       5
 8398.3  ,       8
 8422.7  ,      14
 8447.2  ,      17
 8471.6  ,      26
 8496.0  ,      15
 8520.5  ,      30
 8544.9  ,      52
 8569.4  ,      58
 8593.8  ,      76
 8618.2  ,      57
 8642.7  ,      78
 8667.1  ,      58
 8691.5  ,      48
 8716.0  ,      26
 8740.4  ,      17
 8764.9  ,      13
 8789.3  ,       6
 8813.7  ,       7
 8838.2  ,       8
 8862.6  ,       4
 8887.0  ,      13
 8911.5  ,       5
 8935.9  ,      10
 8960.4  ,       9
 8984.8  ,      11
 9009.2  ,       9
 9033.7  ,      11
 9058.1  ,       5
 9082.5  ,       3
 9107.0  ,       7
 9131.4  ,       5
 9155.9  ,      10
 9180.3  ,       7
 9204.7  ,      10
 9229.2  ,       9
 9253.6  ,       9
 9278.0  ,      18
 9302.5  ,      13
 9326.9  ,      10
 9351.4  ,      13
 9375.8  ,       7
 9400.2  ,       7
 9424.7  ,      17
 9449.1  ,       8
 9473.5  ,      11
 9498.0  ,      16
 9522.4  ,      24
 9546.9  ,      20
 9571.3  ,      18
 9595.7  ,      18
 9620.2  ,      20
 9644.6  ,      18
 9669.1  ,      15
 9693.5  ,      11
 9717.9  ,      12
 9742.4  ,       9
 9766.8  ,      15
 9791.2  ,      18
 9815.7  ,      17
 9840.1  ,      14
 9864.6  ,      20
 9889.0  ,      16
 9913.4  ,      19
 9937.9  ,      20
 9962.3  ,      16
 9986.7  ,      14
10011.2  ,      11
10035.6  ,       8
10060.1  ,       4
10084.5  ,      10
10108.9  ,       6
10133.4  ,       7
10157.8  ,       9
10182.2  ,       3
10206.7  ,       7
10231.1  ,       6
10255.6  ,       7
10280.0  ,       8
10304.4  ,      12
10328.9  ,       9
10353.3  ,       9
10377.7  ,       6
10402.2  ,       7
10426.6  ,       4
10451.1  ,       7
10475.5  ,      14
10499.9  ,       9
10524.4  ,      12
10548.8  ,      18
10573.2  ,      11
10597.7  ,      12
10622.1  ,      11
10646.6  ,       9
10671.0  ,       8
10695.4  ,       9
10719.9  ,       4
10744.3  ,       7
10768.7  ,       8
10793.2  ,       5
10817.6  ,       5
10842.1  ,       9
10866.5  ,       9
10890.9  ,      10
10915.4  ,       8
10939.8  ,       8
10964.2  ,       7
10988.7  ,      12
11013.1  ,      15
11037.6  ,       7
11062.0  ,       9
11086.4  ,      16
11110.9  ,       9
11135.3  ,       9
11159.7  ,       7
11184.2  ,      12
11208.6  ,       7
11233.1  ,       8
11257.5  ,      12
11281.9  ,       7
11306.4  ,       9
11330.8  ,      12
11355.2  ,       7
11379.7  ,      16
11404.1  ,      12
11428.6  ,      14
11453.0  ,      10
11477.4  ,       8
11501.9  ,      14
11526.3  ,      19
11550.7  ,      14
11575.2  ,      15
11599.6  ,      12
11624.1  ,       5
11648.5  ,      14
11672.9  ,      12
11697.4  ,      17
11721.8  ,      12
11746.2  ,      10
11770.7  ,      14
11795.1  ,      12
11819.6  ,      18
11844.0  ,      28
11868.4  ,      30
11892.9  ,      29
11917.3  ,      32
11941.8  ,      17
11966.2  ,      22
11990.6  ,      17
12015.1  ,      25
12039.5  ,      19
12063.9  ,      16
12088.4  ,      20
12112.8  ,      24
12137.3  ,      13
12161.7  ,      17
12186.1  ,      16
12210.6  ,      28
12235.0  ,      18
12259.4  ,      13
12283.9  ,      16
12308.3  ,      20
12332.8  ,      10
12357.2  ,       9
12381.6  ,       8
12406.1  ,       9
12430.5  ,      23
12454.9  ,      16
12479.4  ,      10
12503.8  ,      15
12528.3  ,      23
12552.7  ,      20
12577.1  ,      23
12601.6  ,      14
12626.0  ,      25
12650.4  ,      19
12674.9  ,      16
12699.3  ,      21
12723.8  ,      21
12748.2  ,      23
12772.6  ,      15
12797.1  ,      14
12821.5  ,      23
12845.9  ,      18
12870.4  ,      26
12894.8  ,      18
12919.3  ,      22
12943.7  ,      21
12968.1  ,      23
12992.6  ,      25
13017.0  ,      23
13041.4  ,      27
13065.9  ,      27
13090.3  ,      38
13114.8  ,      40
13139.2  ,      46
13163.6  ,      40
13188.1  ,      52
13212.5  ,      77
13236.9  ,      65
13261.4  ,      83
13285.8  ,      80
13310.3  ,      84
13334.7  ,     106
13359.1  ,     110
13383.6  ,     109
13408.0  ,     130
13432.4  ,     111
13456.9  ,     129
13481.3  ,     137
13505.8  ,     115
13530.2  ,     109
13554.6  ,     123
13579.1  ,     115
13603.5  ,      93
13627.9  ,     111
13652.4  ,      98
13676.8  ,     103
13701.3  ,      89
13725.7  ,      83
13750.1  ,      80
13774.6  ,      71
13799.0  ,      66
13823.4  ,      41
13847.9  ,      52
13872.3  ,      39
13896.8  ,      53
13921.2  ,      45
13945.6  ,      46
13970.1  ,      49
13994.5  ,      48
14018.9  ,      54
14043.4  ,      60
14067.8  ,      64
14092.3  ,      73
14116.7  ,     113
14141.1  ,     105
14165.6  ,     133
14190.0  ,     156
14214.5  ,     170
14238.9  ,     182
14263.3  ,     190
14287.8  ,     199
14312.2  ,     164
14336.6  ,     156
14361.1  ,     121
14385.5  ,      98
14410.0  ,      85
14434.4  ,      45
14458.8  ,      27
14483.3  ,      24
14507.7  ,      14
14532.1  ,      19
14556.6  ,      13
14581.0  ,      13
14605.5  ,       9
14629.9  ,      13
14654.3  ,      13
14678.8  ,      10
14703.2  ,      16
14727.6  ,      15
14752.1  ,      25
14776.5  ,      11
14801.0  ,      20
14825.4  ,      20
14849.8  ,      14
14874.3  ,      19
14898.7  ,      13
14923.1  ,      16
14947.6  ,      16
14972.0  ,      18
14996.5  ,      12
15020.9  ,      25
15045.3  ,      21
15069.8  ,      16
15094.2  ,      17
15118.6  ,      20
15143.1  ,      11
15167.5  ,      17
15192.0  ,      24
15216.4  ,      15
15240.8  ,      20
15265.3  ,      38
15289.7  ,      27
15314.1  ,      23
15338.6  ,      18
15363.0  ,      14
15387.5  ,      24
15411.9  ,      25
15436.3  ,      18
15460.8  ,      39
15485.2  ,      32
15509.6  ,      54
15534.1  ,      49
15558.5  ,      72
15583.0  ,     101
15607.4  ,     139
15631.8  ,     186
15656.3  ,     210
15680.7  ,     253
15705.1  ,     243
15729.6  ,     333
15754.0  ,     293
15778.5  ,     267
15802.9  ,     265
15827.3  ,     235
15851.8  ,     192
15876.2  ,     146
15900.6  ,     104
15925.1  ,      89
15949.5  ,      78
15974.0  ,      71
15998.4  ,      49
16022.8  ,      50
16047.3  ,      53
16071.7  ,      53
16096.1  ,      49
16120.6  ,      49
16145.0  ,      63
16169.5  ,      42
16193.9  ,      58
16218.3  ,      67
16242.8  ,      55
16267.2  ,      62
16291.6  ,      81
16316.1  ,      58
16340.5  ,      73
16365.0  ,      50
16389.4  ,      58
16413.8  ,      73
16438.3  ,      61
16462.7  ,      48
16487.1  ,      52
16511.6  ,      64
16536.0  ,      57
16560.5  ,      69
16584.9  ,      58
16609.3  ,      58
16633.8  ,      79
16658.2  ,      69
16682.7  ,      68
16707.1  ,      84
16731.5  ,      75
16756.0  ,      85
16780.4  ,      69
16804.8  ,     113
16829.3  ,      98
16853.7  ,     119
16878.2  ,      99
16902.6  ,     117
16927.0  ,     144
16951.5  ,     129
16975.9  ,     117
17000.3  ,     130
17024.8  ,     147
17049.2  ,     141
17073.7  ,     157
17098.1  ,     171
17122.5  ,     169
17147.0  ,     173
17171.4  ,     164
17195.8  ,     162
17220.3  ,     139
17244.7  ,     178
17269.2  ,     158
17293.6  ,     158
17318.0  ,     115
17342.5  ,     115
17366.9  ,     115
17391.3  ,      86
17415.8  ,      82
17440.2  ,      86
17464.7  ,      89
17489.1  ,      73
17513.5  ,      68
17538.0  ,      88
17562.4  ,      66
17586.8  ,      88
17611.3  ,      90
17635.7  ,      74
