"Target: Barberton_raster3, Contains DAT files: APB_563089233ESC18650661994_______M1.DAT"
  479.3  ,    1200
  503.7  ,       0
  528.2  ,       0
  552.6  ,       0
  577.1  ,       0
  601.5  ,     111
  625.9  ,      87
  650.4  ,     141
  674.8  ,     130
  699.3  ,     163
  723.7  ,     150
  748.1  ,     148
  772.6  ,     119
  797.0  ,     131
  821.5  ,     146
  845.9  ,     139
  870.3  ,     120
  894.8  ,     162
  919.2  ,     162
  943.7  ,     176
  968.1  ,     237
  992.5  ,     378
 1017.0  ,     485
 1041.4  ,     568
 1065.9  ,     374
 1090.3  ,     303
 1114.7  ,     231
 1139.2  ,     223
 1163.6  ,     383
 1188.1  ,     714
 1212.5  ,    1140
 1236.9  ,    1509
 1261.4  ,    1445
 1285.8  ,     834
 1310.3  ,     482
 1334.7  ,     351
 1359.1  ,     310
 1383.6  ,     474
 1408.0  ,     928
 1432.5  ,    1815
 1456.9  ,    2732
 1481.3  ,    3065
 1505.8  ,    2338
 1530.2  ,    1385
 1554.7  ,     723
 1579.1  ,     474
 1603.5  ,     513
 1628.0  ,    1002
 1652.4  ,    2498
 1676.8  ,    5467
 1701.3  ,    9550
 1725.7  ,   11701
 1750.2  ,   10308
 1774.6  ,    6634
 1799.0  ,    3112
 1823.5  ,    1291
 1847.9  ,     636
 1872.4  ,     439
 1896.8  ,     274
 1921.2  ,     205
 1945.7  ,     163
 1970.1  ,     155
 1994.6  ,     212
 2019.0  ,     184
 2043.4  ,     171
 2067.9  ,     126
 2092.3  ,      97
 2116.8  ,      93
 2141.2  ,      99
 2165.6  ,     103
 2190.1  ,     154
 2214.5  ,     291
 2239.0  ,     514
 2263.4  ,     919
 2287.8  ,    1121
 2312.3  ,    1030
 2336.7  ,     790
 2361.2  ,     452
 2385.6  ,     215
 2410.0  ,     136
 2434.5  ,     113
 2458.9  ,      82
 2483.4  ,     107
 2507.8  ,     112
 2532.2  ,      99
 2556.7  ,     119
 2581.1  ,     164
 2605.6  ,     211
 2630.0  ,     152
 2654.4  ,     120
 2678.9  ,      84
 2703.3  ,      63
 2727.8  ,      32
 2752.2  ,      39
 2776.6  ,      36
 2801.1  ,      29
 2825.5  ,      53
 2850.0  ,      35
 2874.4  ,      52
 2898.8  ,      57
 2923.3  ,      46
 2947.7  ,      82
 2972.2  ,      59
 2996.6  ,      33
 3021.0  ,      39
 3045.5  ,      23
 3069.9  ,      29
 3094.4  ,      22
 3118.8  ,      33
 3143.2  ,      27
 3167.7  ,      33
 3192.1  ,      34
 3216.6  ,      73
 3241.0  ,      98
 3265.4  ,     145
 3289.9  ,     176
 3314.3  ,     178
 3338.8  ,     136
 3363.2  ,      94
 3387.6  ,      84
 3412.1  ,      52
 3436.5  ,      33
 3461.0  ,      40
 3485.4  ,      53
 3509.8  ,      42
 3534.3  ,      79
 3558.7  ,     116
 3583.2  ,     223
 3607.6  ,     377
 3632.0  ,     606
 3656.5  ,     823
 3680.9  ,     833
 3705.4  ,     709
 3729.8  ,     495
 3754.2  ,     306
 3778.7  ,     142
 3803.1  ,      73
 3827.6  ,      35
 3852.0  ,      30
 3876.4  ,      26
 3900.9  ,      41
 3925.3  ,      62
 3949.7  ,     106
 3974.2  ,     102
 3998.6  ,     117
 4023.1  ,     113
 4047.5  ,      87
 4071.9  ,      65
 4096.4  ,      49
 4120.8  ,      40
 4145.3  ,      22
 4169.7  ,      20
 4194.1  ,      25
 4218.6  ,      14
 4243.0  ,      18
 4267.5  ,      13
 4291.9  ,      21
 4316.3  ,      12
 4340.8  ,      20
 4365.2  ,      24
 4389.7  ,      32
 4414.1  ,      63
 4438.5  ,      90
 4463.0  ,      89
 4487.4  ,      98
 4511.9  ,     112
 4536.3  ,     104
 4560.7  ,      57
 4585.2  ,      47
 4609.6  ,      31
 4634.1  ,      35
 4658.5  ,      34
 4682.9  ,      39
 4707.4  ,      22
 4731.8  ,      19
 4756.3  ,      21
 4780.7  ,      17
 4805.1  ,      18
 4829.6  ,      31
 4854.0  ,      30
 4878.5  ,      29
 4902.9  ,      42
 4927.3  ,      29
 4951.8  ,      26
 4976.2  ,      33
 5000.7  ,      29
 5025.1  ,      24
 5049.5  ,      22
 5074.0  ,      15
 5098.4  ,      23
 5122.9  ,      24
 5147.3  ,      19
 5171.7  ,      20
 5196.2  ,      22
 5220.6  ,      28
 5245.1  ,      26
 5269.5  ,      22
 5293.9  ,      38
 5318.4  ,      45
 5342.8  ,      52
 5367.3  ,      56
 5391.7  ,      59
 5416.1  ,      60
 5440.6  ,      46
 5465.0  ,      38
 5489.5  ,      37
 5513.9  ,      15
 5538.3  ,      15
 5562.8  ,      20
 5587.2  ,      26
 5611.7  ,      20
 5636.1  ,      20
 5660.5  ,      32
 5685.0  ,      29
 5709.4  ,      22
 5733.9  ,      40
 5758.3  ,      40
 5782.7  ,      31
 5807.2  ,      53
 5831.6  ,      56
 5856.1  ,      86
 5880.5  ,      70
 5904.9  ,      81
 5929.4  ,      61
 5953.8  ,      60
 5978.3  ,      48
 6002.7  ,      50
 6027.1  ,      42
 6051.6  ,      56
 6076.0  ,      57
 6100.5  ,      53
 6124.9  ,      70
 6149.3  ,      77
 6173.8  ,     104
 6198.2  ,     150
 6222.6  ,     327
 6247.1  ,     633
 6271.5  ,    1168
 6296.0  ,    2076
 6320.4  ,    3149
 6344.8  ,    4271
 6369.3  ,    4936
 6393.7  ,    4774
 6418.2  ,    4126
 6442.6  ,    2847
 6467.0  ,    1800
 6491.5  ,     926
 6515.9  ,     469
 6540.4  ,     184
 6564.8  ,      83
 6589.2  ,      39
 6613.7  ,      27
 6638.1  ,      25
 6662.6  ,      31
 6687.0  ,      28
 6711.4  ,      20
 6735.9  ,      24
 6760.3  ,      24
 6784.8  ,      29
 6809.2  ,      32
 6833.6  ,      41
 6858.1  ,      60
 6882.5  ,     105
 6907.0  ,     145
 6931.4  ,     269
 6955.8  ,     410
 6980.3  ,     579
 7004.7  ,     625
 7029.2  ,     792
 7053.6  ,     746
 7078.0  ,     586
 7102.5  ,     448
 7126.9  ,     253
 7151.4  ,     164
 7175.8  ,      89
