"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.34    ,  0.20  
MgO     ,  6.17    ,  0.25  
Al2O3   ,  8.74    ,  0.29  
SiO2    , 43.50    ,  0.75  
P2O5    ,  0.81    ,  0.07  
SO3     ,  9.60    ,  0.28  
Cl      ,  0.78    ,  0.05  
K2O     ,  0.87    ,  0.05  
CaO     ,  6.86    ,  0.13  
TiO2    ,  0.93    ,  0.09  
Cr2O3   ,  0.31    ,  0.05  
MnO     ,  0.20    ,  0.03  
FeO     , 18.56    ,  0.20  
Ni      ,  0.0696  ,  0.0065
Zn      ,  0.0852  ,  0.0050
Br      ,  0.0090  ,  0.0015
