"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.51    ,  0.14  
MgO     ,  7.16    ,  0.17  
Al2O3   ,  8.77    ,  0.19  
SiO2    , 44.96    ,  0.54  
P2O5    ,  1.06    ,  0.07  
SO3     ,  9.43    ,  0.15  
Cl      ,  1.55    ,  0.04  
K2O     ,  0.83    ,  0.04  
CaO     ,  3.54    ,  0.04  
TiO2    ,  1.03    ,  0.03  
Cr2O3   ,  0.29    ,  0.01  
MnO     ,  0.19    ,  0.01  
FeO     , 18.37    ,  0.20  
Ni      ,  0.0800  ,  0.0040
Zn      ,  0.1379  ,  0.0045
Br      ,  0.0189  ,  0.0010
