"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  6.22    ,  0.20  
MgO     ,  2.92    ,  0.17  
Al2O3   , 16.93    ,  0.38  
SiO2    , 53.13    ,  0.75  
P2O5    ,  0.82    ,  0.07  
SO3     ,  2.58    ,  0.12  
Cl      ,  0.97    ,  0.05  
K2O     ,  2.16    ,  0.07  
CaO     ,  5.54    ,  0.10  
TiO2    ,  0.36    ,  0.03  
Cr2O3   ,  0.04    ,  0.03  
MnO     ,  0.18    ,  0.03  
FeO     ,  7.84    ,  0.13  
Ni      ,  0.0043  ,  0.0025
Zn      ,  0.1409  ,  0.0045
Br      ,  0.0089  ,  0.0020
