"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.86    ,  0.14  
MgO     ,  3.30    ,  0.08  
Al2O3   ,  4.17    ,  0.10  
SiO2    , 21.69    ,  0.32  
P2O5    ,  1.58    ,  0.09  
SO3     , 29.86    ,  0.30  
Cl      ,  1.71    ,  0.03  
K2O     ,  0.27    ,  0.01  
CaO     , 17.93    ,  0.18  
TiO2    ,  0.50    ,  0.03  
Cr2O3   ,  0.17    ,  0.01  
MnO     ,  0.17    ,  0.01  
FeO     , 16.58    ,  0.20  
Ni      ,  0.0375  ,  0.0020
Zn      ,  0.0611  ,  0.0020
Br      ,  0.0270  ,  0.0010
