"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.74    ,  0.07  
MgO     ,  3.87    ,  0.08  
Al2O3   ,  6.27    ,  0.19  
SiO2    , 35.45    ,  0.43  
P2O5    ,  1.65    ,  0.09  
SO3     , 18.46    ,  0.20  
Cl      ,  0.89    ,  0.02  
K2O     ,  0.64    ,  0.02  
CaO     , 10.47    ,  0.11  
TiO2    ,  0.84    ,  0.03  
Cr2O3   ,  0.25    ,  0.01  
MnO     ,  0.17    ,  0.01  
FeO     , 19.01    ,  0.20  
Ni      ,  0.0647  ,  0.0035
Zn      ,  0.0917  ,  0.0030
Br      ,  0.0337  ,  0.0015
