"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.58    ,  0.14  
MgO     ,  8.22    ,  0.17  
Al2O3   ,  8.35    ,  0.19  
SiO2    , 41.82    ,  0.43  
P2O5    ,  0.98    ,  0.07  
SO3     ,  8.40    ,  0.10  
Cl      ,  1.29    ,  0.02  
K2O     ,  0.62    ,  0.02  
CaO     ,  5.69    ,  0.07  
TiO2    ,  1.11    ,  0.05  
Cr2O3   ,  0.34    ,  0.01  
MnO     ,  0.33    ,  0.01  
FeO     , 19.85    ,  0.26  
Ni      ,  0.0971  ,  0.0050
Zn      ,  0.1516  ,  0.0050
Br      ,  0.0881  ,  0.0030
