"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.61    ,  0.20  
MgO     ,  8.36    ,  0.25  
Al2O3   ,  8.66    ,  0.29  
SiO2    , 42.15    ,  0.75  
P2O5    ,  0.94    ,  0.07  
SO3     ,  6.43    ,  0.20  
Cl      ,  0.94    ,  0.05  
K2O     ,  1.37    ,  0.05  
CaO     ,  6.22    ,  0.11  
TiO2    ,  1.01    ,  0.07  
Cr2O3   ,  0.41    ,  0.05  
MnO     ,  0.40    ,  0.04  
FeO     , 20.28    ,  0.26  
Ni      ,  0.0374  ,  0.0050
Zn      ,  0.1176  ,  0.0050
Br      ,  0.0038  ,  0.0015
