"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.63    ,  0.14  
MgO     ,  8.16    ,  0.17  
Al2O3   ,  8.57    ,  0.19  
SiO2    , 41.79    ,  0.54  
P2O5    ,  0.94    ,  0.07  
SO3     ,  6.53    ,  0.15  
Cl      ,  0.95    ,  0.04  
K2O     ,  1.24    ,  0.05  
CaO     ,  6.32    ,  0.08  
TiO2    ,  1.01    ,  0.07  
Cr2O3   ,  0.51    ,  0.03  
MnO     ,  0.40    ,  0.03  
FeO     , 20.72    ,  0.26  
Ni      ,  0.0386  ,  0.0035
Zn      ,  0.1102  ,  0.0035
Br      ,  0.0035  ,  0.0010
