"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.48    ,  0.14  
MgO     ,  6.19    ,  0.17  
Al2O3   ,  8.55    ,  0.19  
SiO2    , 44.12    ,  0.54  
P2O5    ,  0.83    ,  0.05  
SO3     ,  7.83    ,  0.15  
Cl      ,  1.54    ,  0.04  
K2O     ,  0.91    ,  0.04  
CaO     ,  4.86    ,  0.06  
TiO2    ,  1.04    ,  0.03  
Cr2O3   ,  0.34    ,  0.03  
MnO     ,  0.28    ,  0.03  
FeO     , 20.73    ,  0.26  
Ni      ,  0.0976  ,  0.0050
Zn      ,  0.1277  ,  0.0040
Br      ,  0.0135  ,  0.0010
