"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.66    ,  0.14  
MgO     ,  8.58    ,  0.25  
Al2O3   ,  8.94    ,  0.19  
SiO2    , 42.68    ,  0.43  
P2O5    ,  0.93    ,  0.07  
SO3     ,  6.04    ,  0.08  
Cl      ,  0.80    ,  0.02  
K2O     ,  0.48    ,  0.02  
CaO     ,  7.09    ,  0.08  
TiO2    ,  1.03    ,  0.03  
Cr2O3   ,  0.49    ,  0.01  
MnO     ,  0.41    ,  0.01  
FeO     , 19.70    ,  0.26  
Ni      ,  0.0646  ,  0.0035
Zn      ,  0.0310  ,  0.0010
Br      ,  0.0041  ,  0.0005
