"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.92    ,  0.07  
MgO     ,  1.55    ,  0.83  
Al2O3   ,  3.09    ,  0.10  
SiO2    , 59.75    ,  0.64  
P2O5    ,  1.33    ,  0.07  
SO3     , 13.69    ,  0.15  
Cl      ,  0.32    ,  0.01  
K2O     ,  0.31    ,  0.01  
CaO     ,  8.22    ,  0.08  
TiO2    ,  1.11    ,  0.05  
Cr2O3   ,  0.29    ,  0.01  
MnO     ,  0.09    ,  0.01  
FeO     ,  8.22    ,  0.13  
Ni      ,  0.0111  ,  0.0010
Zn      ,  0.0089  ,  0.0005
Br      ,  0.0060  ,  0.0005
