"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.49    ,  0.14  
MgO     ,  6.37    ,  0.17  
Al2O3   ,  8.09    ,  0.19  
SiO2    , 40.43    ,  0.43  
P2O5    ,  0.82    ,  0.05  
SO3     , 13.21    ,  0.15  
Cl      ,  1.80    ,  0.03  
K2O     ,  0.58    ,  0.02  
CaO     ,  8.33    ,  0.08  
TiO2    ,  0.92    ,  0.03  
Cr2O3   ,  0.25    ,  0.01  
MnO     ,  0.30    ,  0.01  
FeO     , 15.93    ,  0.20  
Ni      ,  0.0568  ,  0.0030
Zn      ,  0.1503  ,  0.0050
Br      ,  0.0505  ,  0.0020
