"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.56    ,  0.14  
MgO     ,  6.34    ,  0.17  
Al2O3   ,  7.83    ,  0.19  
SiO2    , 41.81    ,  0.43  
P2O5    ,  1.34    ,  0.07  
SO3     ,  5.66    ,  0.12  
Cl      ,  2.72    ,  0.05  
K2O     ,  0.85    ,  0.04  
CaO     ,  4.66    ,  0.06  
TiO2    ,  0.92    ,  0.03  
Cr2O3   ,  0.30    ,  0.03  
MnO     ,  0.37    ,  0.03  
FeO     , 24.37    ,  0.26  
Ni      ,  0.0721  ,  0.0040
Zn      ,  0.0688  ,  0.0025
Br      ,  0.0516  ,  0.0020
