"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.57    ,  0.14  
MgO     ,  7.36    ,  0.17  
Al2O3   ,  9.09    ,  0.19  
SiO2    , 46.20    ,  0.54  
P2O5    ,  0.86    ,  0.05  
SO3     ,  3.75    ,  0.10  
Cl      ,  0.75    ,  0.03  
K2O     ,  0.84    ,  0.04  
CaO     ,  4.86    ,  0.07  
TiO2    ,  1.11    ,  0.05  
Cr2O3   ,  0.46    ,  0.03  
MnO     ,  0.23    ,  0.03  
FeO     , 21.66    ,  0.26  
Ni      ,  0.0628  ,  0.0035
Zn      ,  0.0639  ,  0.0025
Br      ,  0.0088  ,  0.0010
