"oxide",  "APXS analysis ver 2a","statistical uncertainty (precision)"
Na2O    ,  2.64    ,  0.14  
MgO     ,  7.69    ,  0.17  
Al2O3   ,  9.45    ,  0.29  
SiO2    , 46.29    ,  0.54  
P2O5    ,  1.14    ,  0.07  
SO3     ,  7.41    ,  0.08  
Cl      ,  1.12    ,  0.02  
K2O     ,  0.60    ,  0.02  
CaO     ,  5.57    ,  0.06  
TiO2    ,  1.03    ,  0.03  
Cr2O3   ,  0.30    ,  0.01  
MnO     ,  0.27    ,  0.02  
FeO     , 16.27    ,  0.20  
Ni      ,  0.0671  ,  0.0035
Zn      ,  0.1024  ,  0.0035
Br      ,  0.0147  ,  0.0005
