"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.45    ,  0.14  
MgO     ,  5.50    ,  0.17  
Al2O3   ,  8.66    ,  0.19  
SiO2    , 48.00    ,  0.54  
P2O5    ,  0.93    ,  0.07  
SO3     ,  5.21    ,  0.10  
Cl      ,  1.24    ,  0.04  
K2O     ,  0.99    ,  0.04  
CaO     ,  3.72    ,  0.06  
TiO2    ,  1.08    ,  0.03  
Cr2O3   ,  0.32    ,  0.03  
MnO     ,  0.16    ,  0.01  
FeO     , 21.39    ,  0.26  
Ni      ,  0.1015  ,  0.0055
Zn      ,  0.0921  ,  0.0030
Br      ,  0.0799  ,  0.0025
