"oxide",  "APXS analysis ver 2a","statistical uncertainty (precision)"
Na2O    ,  3.22    ,  0.14  
MgO     ,  7.46    ,  0.17  
Al2O3   , 10.87    ,  0.29  
SiO2    , 48.11    ,  0.54  
P2O5    ,  1.00    ,  0.07  
SO3     ,  4.07    ,  0.05  
Cl      ,  0.72    ,  0.02  
K2O     ,  0.56    ,  0.02  
CaO     ,  6.55    ,  0.07  
TiO2    ,  0.82    ,  0.03  
Cr2O3   ,  0.20    ,  0.01  
MnO     ,  0.34    ,  0.02  
FeO     , 16.02    ,  0.20  
Ni      ,  0.0511  ,  0.0030
Zn      ,  0.0191  ,  0.0010
Br      ,  0.0103  ,  0.0005
