"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.15    ,  0.14  
MgO     ,  6.88    ,  0.17  
Al2O3   , 12.18    ,  0.29  
SiO2    , 45.19    ,  0.54  
P2O5    ,  0.84    ,  0.05  
SO3     ,  4.61    ,  0.05  
Cl      ,  0.84    ,  0.02  
K2O     ,  0.50    ,  0.02  
CaO     ,  6.77    ,  0.07  
TiO2    ,  0.95    ,  0.03  
Cr2O3   ,  0.40    ,  0.01  
MnO     ,  0.24    ,  0.01  
FeO     , 17.22    ,  0.20  
Ni      ,  0.0386  ,  0.0020
Zn      ,  0.0306  ,  0.0010
Br      ,  0.0301  ,  0.0010
