"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.91    ,  0.14  
MgO     ,  4.93    ,  0.17  
Al2O3   , 14.09    ,  0.29  
SiO2    , 46.61    ,  0.54  
P2O5    ,  0.50    ,  0.05  
SO3     ,  2.11    ,  0.05  
Cl      ,  0.34    ,  0.02  
K2O     ,  0.10    ,  0.07  
CaO     , 10.79    ,  0.11  
TiO2    ,  0.86    ,  0.03  
Cr2O3   ,  0.05    ,  0.01  
MnO     ,  0.38    ,  0.01  
FeO     , 16.26    ,  0.20  
Ni      ,  0.0028  ,  0.0025
Zn      ,  0.0064  ,  0.0010
Br      ,  0.0012  ,  0.0010
