"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.31    ,  0.14  
MgO     ,  6.01    ,  0.17  
Al2O3   ,  8.26    ,  0.19  
SiO2    , 46.43    ,  0.54  
P2O5    ,  0.95    ,  0.07  
SO3     ,  6.90    ,  0.12  
Cl      ,  1.80    ,  0.04  
K2O     ,  0.79    ,  0.02  
CaO     ,  3.75    ,  0.04  
TiO2    ,  1.04    ,  0.03  
Cr2O3   ,  0.28    ,  0.01  
MnO     ,  0.18    ,  0.01  
FeO     , 20.96    ,  0.26  
Ni      ,  0.0728  ,  0.0040
Zn      ,  0.1698  ,  0.0055
Br      ,  0.0252  ,  0.0010
